"","Stem","wk1","wk2","wk3","wk4","wk5","wk6","wk7","wk8","wk9","wk10","wk11","wk12","wk13","wk14","wk15","wk16","wk17","wk18","wk19","wk20","wk21","wk22","wk23","wk24","wk25","wk26","wk27","wk28","wk29","wk30","wk31","wk32","wk33","wk34","wk35","wk36","wk37","wk38","wk39","wk40","wk41","wk42","wk43","wk44","wk45","wk46","wk47","wk48","wk49","wk50","wk51","wk52"
"A ZERO","A ZERO",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABABA","ABABA",0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABANDON","ABANDON",1,0,0,1,0,0,0,0,1,0,4,0,0,0,2,0,0,0,4,3,0,3,0,0,3,1,1,2,0,3,0,0,1,1,4,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1
"ABAT","ABAT",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBASI","ABBASI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABDIC","ABDIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABDUL","ABDUL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABENOM","ABENOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ABHOR","ABHOR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ABID","ABID",0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,1,0,0,1,0,0,3,0,0,1,1,0,3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"ABIDJAN","ABIDJAN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABIL","ABIL",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,3,0,0,2,2,0,0,0,0,0,2,0,1,1,1,0,0,1,2,3,0,0,2,0,1
"ABJECT","ABJECT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABL","ABL",1,1,0,1,2,0,0,0,0,2,0,0,2,1,4,1,0,1,0,4,1,0,0,0,0,4,7,5,0,0,2,1,2,2,0,1,2,0,0,0,2,3,1,1,2,2,2,1,2,1,0,1
"ABNORM","ABNORM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOARD","ABOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ABOLISH","ABOLISH",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"ABOLIT","ABOLIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABORT","ABORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOVEMENT","ABOVEMENT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ABRAHAM","ABRAHAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABROAD","ABROAD",0,1,0,0,1,0,0,2,2,2,1,0,0,0,3,0,0,0,0,0,2,0,0,1,0,1,2,4,1,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,2,0,2,2
"ABROG","ABROG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ABRUPT","ABRUPT",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ABSENC","ABSENC",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"ABSENT","ABSENT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"ABSOLUT","ABSOLUT",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,3,2
"ABSOLUTIST","ABSOLUTIST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ABSORB","ABSORB",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"ABSORPT","ABSORPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"ABSTAIN","ABSTAIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABSURD","ABSURD",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"ABUND","ABUND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ABUS","ABUS",0,0,0,2,1,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0
"ACADEM","ACADEM",0,0,0,0,1,1,0,1,2,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,1,3,1,0,1,2,2,0,1
"ACADEMIA","ACADEMIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ACADEMI","ACADEMI",3,0,0,0,3,0,0,0,0,0,0,0,3,2,3,2,0,2,0,1,0,1,0,1,0,0,0,2,0,3,3,1,1,1,1,1,0,2,1,0,4,0,6,4,2,6,4,1,0,0,3,5
"ACCED","ACCED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ACCELER","ACCELER",1,1,0,0,1,0,0,0,0,1,0,4,0,0,1,1,0,1,1,1,1,0,0,1,1,1,2,2,1,1,0,1,3,0,3,2,1,1,2,0,1,1,4,3,3,1,4,1,2,1,1,5
"ACCENTU","ACCENTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACCEPT","ACCEPT",1,0,0,0,0,0,3,0,0,0,1,0,3,1,1,1,1,4,0,1,0,2,2,1,2,3,0,3,0,3,4,1,1,2,0,0,1,3,4,0,3,0,2,2,2,3,7,2,2,0,2,1
"ACCESS","ACCESS",1,1,2,0,1,2,0,0,1,3,1,2,2,0,12,3,0,1,0,2,2,4,0,2,0,1,3,3,5,7,6,2,2,1,1,0,2,0,2,0,4,4,5,1,2,5,3,1,3,2,5,4
"ACCID","ACCID",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCIDENT","ACCIDENT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ACCOMMOD","ACCOMMOD",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,1
"ACCOMPANI","ACCOMPANI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"ACCOMPLISH","ACCOMPLISH",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACCOMPLISHMENTSI","ACCOMPLISHMENTSI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCORD","ACCORD",4,1,3,2,3,2,2,3,1,4,4,13,5,2,9,7,4,6,1,5,1,3,2,2,2,6,4,13,10,6,6,3,7,10,3,2,12,4,6,1,5,12,6,2,4,3,9,4,6,3,4,7
"ACCOUNT","ACCOUNT",0,2,0,1,5,2,0,3,2,2,2,2,3,3,6,3,2,8,1,3,11,9,1,1,1,2,3,6,7,4,4,5,5,3,5,5,7,7,3,0,8,3,4,3,2,5,2,2,3,5,8,2
"ACCRU","ACCRU",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACCUMUL","ACCUMUL",0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0
"ACCURACI","ACCURACI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACCUR","ACCUR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
"ACCUS","ACCUS",1,1,1,0,0,1,0,0,0,10,1,1,2,5,7,2,3,3,1,4,1,3,1,0,6,3,0,3,8,7,3,3,5,0,5,1,4,2,8,4,7,7,5,9,0,0,1,1,4,3,1,1
"ACCUSTOM","ACCUSTOM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACERB","ACERB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHIEV","ACHIEV",3,1,1,6,2,1,3,1,6,6,1,2,3,2,9,1,3,6,2,6,2,2,3,0,6,8,13,6,3,0,3,7,2,1,4,6,1,1,5,1,4,8,12,6,4,7,7,1,8,2,4,4
"ACID","ACID",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACKNOWLEDG","ACKNOWLEDG",1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,1,0,1,3,2,3,1,0,0,0,1,0,0,0,1,1,1,1,0,2,0,0,0,0,1,0
"ACQUAINT","ACQUAINT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACQUIESC","ACQUIESC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACQUIR","ACQUIR",1,0,0,0,0,0,2,1,1,0,0,0,2,2,2,2,1,0,0,0,0,1,0,0,1,1,0,0,2,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACQUISIT","ACQUISIT",0,0,1,2,1,0,0,0,0,1,0,1,2,1,3,1,1,2,0,0,0,1,0,0,1,2,1,0,1,4,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRIMONI","ACRIMONI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACROBAT","ACROBAT",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRONYM","ACRONYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACROSS","ACROSS",4,2,0,1,2,1,1,0,1,3,4,4,1,0,6,1,1,0,0,3,3,1,3,0,0,5,2,4,1,2,0,2,5,2,2,3,7,0,3,1,3,0,2,1,2,5,1,1,5,0,2,3
"ACT","ACT",1,2,0,0,0,0,1,0,0,1,0,0,2,0,4,2,1,0,1,0,0,1,0,0,1,0,5,3,1,0,2,1,0,0,1,0,0,0,0,0,1,0,2,1,2,2,0,1,0,1,2,0
"ACTION","ACTION",5,0,2,5,7,6,1,4,3,4,4,23,15,14,14,11,5,8,8,13,6,3,12,1,10,17,15,14,9,7,5,6,5,3,4,1,5,5,7,0,10,5,5,2,1,0,1,0,4,3,5,1
"ACTIV","ACTIV",2,1,0,3,1,0,3,1,1,5,2,2,1,2,10,5,0,1,0,2,3,2,0,1,1,4,4,6,0,6,3,0,5,1,2,4,4,0,2,0,5,5,7,4,6,2,4,1,8,2,1,0
"ACTIVIST","ACTIVIST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTOR","ACTOR",0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACTUAL","ACTUAL",0,0,1,0,0,0,0,0,0,2,1,4,1,2,8,2,0,1,1,1,0,2,0,0,2,2,0,4,0,0,1,4,3,2,1,1,1,0,1,0,4,4,1,4,2,2,0,0,0,1,4,2
"ACUT","ACUT",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAG","ADAG",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM","ADAM",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ADAPT","ADAPT",0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,1,1,0,0,2,1,0,0,0,0,0,3,1,0
"AD","AD",1,0,2,1,1,0,0,0,2,0,2,0,4,1,11,1,0,1,1,2,4,2,1,0,0,2,0,4,1,2,0,3,3,2,7,2,9,2,0,0,3,0,0,0,0,5,1,0,5,2,2,0
"ADDICT","ADDICT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,0
"ADDI","ADDI",0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADDIT","ADDIT",1,1,0,0,2,0,2,0,0,0,1,0,3,8,20,5,0,1,1,3,2,3,3,3,9,3,2,6,0,6,3,4,1,4,1,0,2,7,5,0,7,0,2,1,0,1,3,1,7,5,5,7
"ADDRESS","ADDRESS",0,0,3,3,4,2,1,1,1,0,1,4,1,6,13,3,3,4,1,3,2,6,1,1,0,1,4,1,0,5,3,2,8,2,0,1,1,3,1,1,5,1,2,4,0,7,5,0,1,1,3,1
"ADD","ADD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ADEN","ADEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ADEPT","ADEPT",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADEQU","ADEQU",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ADHANOM","ADHANOM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADHER","ADHER",0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,1,1,0
"ADJECT","ADJECT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADJUD","ADJUD",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ADJUNCT","ADJUNCT",0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"ADJUST","ADJUST",0,1,0,1,2,1,1,0,0,0,0,1,2,0,1,2,0,0,0,1,1,5,1,1,4,0,2,4,2,0,4,3,6,0,1,3,0,0,2,0,6,4,1,2,0,3,1,1,0,0,1,6
"ADMINIST","ADMINIST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"ADMINISTR","ADMINISTR",6,0,3,12,8,9,4,5,2,11,11,31,27,12,34,7,2,13,5,20,9,11,14,5,31,42,29,24,25,23,24,17,17,18,16,15,38,28,20,8,34,11,14,18,10,14,5,2,7,5,14,5
"ADMIR","ADMIR",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADMISS","ADMISS",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADMIT","ADMIT",1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0
"ADMONISH","ADMONISH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADOPT","ADOPT",0,1,0,2,0,3,0,0,0,0,0,3,1,2,3,1,0,1,0,2,0,3,1,2,0,2,2,0,1,0,3,0,3,2,1,2,1,3,4,0,3,3,4,1,4,5,2,0,2,2,2,1
"ADULT","ADULT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADVANC","ADVANC",2,0,0,3,3,2,0,0,5,3,1,3,7,1,4,2,0,6,0,5,2,2,5,7,1,1,7,5,6,4,3,1,2,2,0,2,6,2,1,0,12,3,19,3,3,9,6,0,2,3,5,7
"ADVANTAG","ADVANTAG",1,3,0,2,1,0,1,1,1,0,1,2,5,1,3,1,2,6,1,2,5,1,1,4,5,1,3,4,4,2,4,2,4,4,2,6,3,6,6,0,8,1,10,2,0,3,4,1,2,9,0,5
"ADVENTUR","ADVENTUR",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ADVENTURIST","ADVENTURIST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ADVERSARI","ADVERSARI",0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"ADVERS","ADVERS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
"ADVERTIS","ADVERTIS",1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ADVIC","ADVIC",0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ADVIS","ADVIS",0,0,1,0,1,0,0,0,1,4,0,2,1,3,3,0,0,2,0,1,2,2,1,1,4,1,1,1,1,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,3
"ADVISOR","ADVISOR",0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ADVISORI","ADVISORI",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"ADVOCACI","ADVOCACI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ADVOC","ADVOC",1,0,0,2,3,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,3,0,0,1,1,2,0,2,1,0,1,0,0,0,1,1,0,2,3,0,2,2,2,1,4,4,0,0,1,1,1,0
"AERIAL","AERIAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AERONAUT","AERONAUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
